nameEn,nameUr,sku,barcode,purchasePrice,sellingPrice,currentStock,minStockLevel
Transparent Silicone Clear Case iPhone 15 Pro,شفاف سلیکون کور آئی فون,ACC-CASE-IP15,794100000075,120,350,80,15
MagSafe Armor Magnetic Case iPhone 14/15,میگ سیف آرمور کور,ACC-CASE-MAG,794100000076,350,950,50,10
Premium Leather Wallet Flip Cover Galaxy S24,لیڈر والیٹ فلپ کور,ACC-CASE-S24W,794100000077,450,1200,30,5
Heavy Duty Shockproof Armor Case Redmi Note 13,شاک پروف کور ریڈمی,ACC-CASE-RN13,794100000078,250,650,60,10
Used iPhone 13 128GB PTA Approved (Grade A),استعمال شدہ آئی فون 13,USD-IP13-128,358000000079,150000,168000,4,1
Used iPhone 12 128GB JV Non-PTA (Grade A),استعمال شدہ آئی فون 12,USD-IP12-128,358000000080,72000,84000,6,2
Used iPhone 11 64GB PTA Approved (Grade B),استعمال شدہ آئی فون 11,USD-IP11-64,358000000081,85000,98000,5,2
Used Samsung Galaxy S21 Ultra 5G 256GB,استعمال شدہ سیمسنگ S21 الٹرا,USD-S21U-256,358000000082,135000,152000,3,1
Used Samsung Galaxy S20 FE 128GB,استعمال شدہ سیمسنگ S20 FE,USD-S20FE-128,358000000083,52000,62000,5,2
Used OnePlus 9 Pro 5G 256GB (Non-PTA),استعمال شدہ ون پلس 9 پرو,USD-OP9P-256,358000000084,68000,79000,4,1
Used Google Pixel 6a 128GB Official PTA,استعمال شدہ گوگل پکسل 6a,USD-PIX6A-128,358000000085,58000,68000,6,2
Used Google Pixel 7 Pro 128GB Softbank,استعمال شدہ گوگل پکسل 7 پرو,USD-PIX7P-128,358000000086,95000,112000,3,1
iPhone 11 Replacement Screen Display Assembly,آئی فون 11 ڈسپلے سکرین,REP-DISP-IP11,994100000087,8500,12500,8,2
iPhone 12/12 Pro OLED Display Panel Original,آئی فون 12 اولیڈ سکرین,REP-DISP-IP12,994100000088,18500,24500,5,1
Samsung A54 5G AMOLED Screen Panel Original,سیمسنگ A54 اولیڈ سکرین,REP-DISP-A55,994100000089,14500,19500,6,2
Redmi Note 13 OLED Display Assembly,ریڈمی نوٹ 13 سکرین,REP-DISP-RN13,994100000090,7500,11000,8,2
iPhone 11 Battery Replacement High Capacity 3110mAh,آئی فون 11 بیٹری,REP-BAT-IP11,994100000091,3200,4800,15,3
iPhone 12 Battery Replacement Original 2815mAh,آئی فون 12 بیٹری,REP-BAT-IP12,994100000092,3800,5500,12,3
iPhone 13 Battery Replacement 3227mAh,آئی فون 13 بیٹری,REP-BAT-IP13,994100000093,4500,6500,10,2
Samsung A15/A25 Battery 5000mAh Original,سیمسنگ 5000 ایم اے ایچ بیٹری,REP-BAT-SAMA,994100000094,2200,3400,15,4
Redmi 13C / Poco C65 Battery 5000mAh,ریڈمی 5000 ایم اے ایچ بیٹری,REP-BAT-RN13C,994100000095,2000,3100,15,4
Type-C Charging Port Connector Board iPhone 15,آئی فون 15 ٹائپ سی چارجنگ بورڈ,REP-CHG-IP15,994100000096,2800,4200,10,2
Type-C Charging Sub Board Samsung A54/A35,سیمسنگ چارجنگ بورڈ,REP-CHG-SAMA,994100000097,1200,2200,20,4
Universal SIM Tray Ejector Pin Metal (Pack of 50),سم پن پیک,REP-SIM-PIN,994100000098,300,750,30,5
UV Glue Adhesive 10ml for Curved Glass Repair,یو وی گلو,REP-GLU-UV,994100000099,400,850,25,5
B7000 Adhesive Glue 110ml Screen Repair,B7000 سکرین گلو,REP-GLU-B7000,994100000100,500,1100,20,4
